File,Sketch,Time-tree_bmc,Size-tree_bmc
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",63.92,5
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",20.67,5
f:08-nw:100-ml:06-0.trace,"->(?1,?b1(p,q))",12.04,5
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?1))",119.33,4
f:05-nw:025-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",4.91,7
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?1))",5.72,4
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?1))",1.05,4
f:01-nw:400-ml:14-0.trace,?u1(!(?1)),134.64,3
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",1.79,7
f:04-nw:400-ml:06-0.trace,?u1(?1),47.35,2
f:01-nw:010-ml:06-0.trace,G(!(?1)),0.16,3
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",582.23,4
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.6,6
f:04-nw:010-ml:14-0.trace,F(?1),0.23,2
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",6.65,13
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",71.79,10
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.3,9
f:07-nw:025-ml:14-0.trace,G(?1),0.78,2
f:07-nw:400-ml:06-0.trace,?u1(p),6.24,2
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",69.85,7
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",2.03,6
f:04-nw:025-ml:10-0.trace,F(?1),0.51,2
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.9,13
f:01-nw:400-ml:10-0.trace,?u1(!(p)),12.25,3
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",7.73,5
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",13.6,5
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.94,9
f:07-nw:010-ml:10-0.trace,G(?1),0.18,2
f:02-nw:400-ml:10-0.trace,"->(?1,?b1(!(p),q))",176.27,6
f:05-nw:010-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",1.2,7
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",25.74,7
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?1))",43.12,4
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",22.86,5
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",10.67,5
f:08-nw:200-ml:06-0.trace,"->(?1,?b1(p,q))",31.91,5
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",66.24,6
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",5.01,7
f:07-nw:025-ml:06-0.trace,?u1(p),0.43,2
f:07-nw:400-ml:14-0.trace,G(?1),119.01,2
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",0.93,7
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.44,10
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",103.28,13
f:04-nw:010-ml:06-0.trace,?u1(p),0.22,2
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",24.27,6
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",13.65,4
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.47,3
f:04-nw:025-ml:06-0.trace,?u1(?1),0.64,2
f:01-nw:025-ml:14-0.trace,?u1(!(?1)),1.54,3
f:02-nw:010-ml:14-0.trace,"->(?1,?b1(!(p),q))",2.81,6
f:05-nw:400-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",438.67,7
f:07-nw:010-ml:06-0.trace,?u1(?1),0.23,2
f:01-nw:010-ml:10-0.trace,?u1(!(?1)),0.39,3
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",636.7,7
f:02-nw:025-ml:10-0.trace,"->(?1,?b1(!(p),q))",4.85,6
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",60.04,9
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",3.69,6
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",1.37,7
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",1.32,4
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",3.66,4
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.78,3
f:04-nw:400-ml:10-0.trace,F(?1),69.37,2
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",112.95,7
f:01-nw:200-ml:14-0.trace,?u1(!(?1)),36.4,3
f:04-nw:200-ml:06-0.trace,?u1(?1),13.33,2
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",15.68,9
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",190.18,4
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",23.93,10
f:07-nw:200-ml:06-0.trace,?u1(p),2.9,2
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",40.99,7
f:04-nw:100-ml:10-0.trace,F(?1),4.73,2
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",10.76,6
f:01-nw:200-ml:10-0.trace,?u1(!(p)),5.8,3
f:07-nw:100-ml:14-0.trace,G(?1),8.03,2
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",26.7,13
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",6.12,6
f:02-nw:200-ml:10-0.trace,"->(?1,?b1(!(p),q))",71.95,6
f:05-nw:100-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",35.91,7
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",5.06,7
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",167.7,5
f:01-nw:050-ml:14-0.trace,?u1(!(p)),2.14,3
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",41.24,5
f:04-nw:050-ml:06-0.trace,?u1(p),0.84,2
f:07-nw:050-ml:06-0.trace,?u1(?1),1.52,2
f:02-nw:050-ml:14-0.trace,"->(?1,?b1(!(p),q))",16.59,6
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?1))",416.74,4
f:01-nw:050-ml:10-0.trace,?u1(!(?1)),2.49,3
f:08-nw:025-ml:06-0.trace,"->(?1,?b1(p,q))",2.47,5
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",0.8,6
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",6.87,7
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",19.87,4
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",0.27,4
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",26.87,6
f:07-nw:200-ml:14-0.trace,G(?1),29.94,2
f:01-nw:100-ml:10-0.trace,?u1(!(p)),3.04,3
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",54.43,13
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",12.15,6
f:02-nw:100-ml:10-0.trace,"->(?1,?b1(!(p),q))",25.23,6
f:05-nw:200-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",113.18,7
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",261.35,7
f:01-nw:100-ml:14-0.trace,?u1(!(?1)),11.84,3
f:04-nw:100-ml:06-0.trace,?u1(?1),4.08,2
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",75.96,4
f:05-nw:200-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",31.41,9
f:06-nw:100-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",8.6,10
f:07-nw:100-ml:06-0.trace,?u1(p),1.52,2
f:04-nw:200-ml:10-0.trace,F(?1),17.79,2
f:02-nw:100-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",19.43,7
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",13.23,7
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?1))",0.82,4
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?1))",11.61,4
f:04-nw:050-ml:14-0.trace,F(?1),2.4,2
f:09-nw:025-ml:10-0.trace,"?u1(->(q,?u1(p)))",2.67,5
f:01-nw:050-ml:06-0.trace,G(!(?1)),1.02,3
f:08-nw:025-ml:10-0.trace,"->(?1,U(p,q))",4.1,5
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",12.19,9
f:09-nw:010-ml:14-0.trace,"?u1(->(q,?u1(p)))",1.51,5
f:06-nw:050-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",8.91,13
f:07-nw:050-ml:10-0.trace,G(?1),1.36,2
f:08-nw:010-ml:14-0.trace,"->(?1,U(p,q))",2,5
f:05-nw:050-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",7.49,7
f:08-nw:400-ml:06-0.trace,"->(?1,?b1(p,q))",75.07,5
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?1))",3.7,4
f:07-nw:100-ml:10-0.trace,?u1(?1),6.06,2
f:05-nw:200-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",23.56,7
f:04-nw:100-ml:10-0.trace,?u1(p),2.45,2
f:02-nw:200-ml:14-0.trace,"->(?1,U(!(p),q))",123.98,6
f:07-nw:200-ml:06-0.trace,G(?1),11.52,2
f:06-nw:200-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",22.42,13
f:03-nw:200-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",32.23,6
f:05-nw:100-ml:10-0.trace,"|(?1,F(&(p,F(q))))",23.54,7
f:03-nw:100-ml:06-0.trace,"G(->(q,?1))",22.66,4
f:06-nw:100-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",34.81,10
f:07-nw:100-ml:14-0.trace,?u1(p),3.68,2
f:01-nw:200-ml:10-0.trace,G(!(?1)),19.09,3
f:02-nw:100-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",7.4,7
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?1))",116.53,4
f:01-nw:100-ml:06-0.trace,?u1(!(?1)),4.38,3
f:04-nw:100-ml:14-0.trace,?u1(?1),11.1,2
f:04-nw:050-ml:06-0.trace,F(?1),0.99,2
f:01-nw:050-ml:14-0.trace,G(!(?1)),2.53,3
f:09-nw:400-ml:10-0.trace,"G(->(q,?1))",204.01,4
f:08-nw:400-ml:10-0.trace,"?b1(F(q),?b2(p,q))",47.31,6
f:05-nw:050-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",4.58,9
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",3.84,7
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?1))",35.36,4
f:08-nw:400-ml:14-0.trace,"->(?1,?b1(p,q))",334.84,5
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?1))",2.32,4
f:09-nw:010-ml:06-0.trace,"?u1(->(q,?u1(p)))",0.61,5
f:03-nw:050-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",5.6,6
f:02-nw:050-ml:10-0.trace,"->(?1,U(!(p),q))",8.69,6
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",0.82,5
f:03-nw:200-ml:06-0.trace,"G(->(q,?1))",51.68,4
f:06-nw:200-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",117.17,10
f:01-nw:100-ml:10-0.trace,G(!(?1)),5.22,3
f:07-nw:200-ml:14-0.trace,?u1(p),6.77,2
f:02-nw:200-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",15.5,7
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?1))",48.52,4
f:01-nw:200-ml:06-0.trace,?u1(!(?1)),13.28,3
f:04-nw:200-ml:14-0.trace,?u1(?1),38.2,2
f:07-nw:200-ml:10-0.trace,?u1(?1),19.29,2
f:05-nw:100-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",9.29,7
f:02-nw:100-ml:14-0.trace,"->(?1,U(!(p),q))",40.62,6
f:04-nw:200-ml:10-0.trace,?u1(p),4.84,2
f:07-nw:100-ml:06-0.trace,G(?1),3.04,2
f:06-nw:100-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",10.76,13
f:05-nw:200-ml:10-0.trace,"|(?1,F(&(p,F(q))))",64.48,7
f:03-nw:100-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",16.24,6
f:07-nw:050-ml:14-0.trace,?u1(?1),3.7,2
f:08-nw:010-ml:10-0.trace,"->(?1,?b1(p,q))",1.86,5
f:02-nw:050-ml:06-0.trace,"->(?1,?b1(!(p),q))",5.61,6
f:05-nw:050-ml:14-0.trace,"|(?1,F(&(p,F(q))))",15.7,7
f:08-nw:025-ml:10-0.trace,"?b1(F(q),?b2(p,q))",3.28,6
f:09-nw:025-ml:10-0.trace,"G(->(q,?1))",1.41,4
f:01-nw:050-ml:06-0.trace,?u1(!(p)),0.96,3
f:04-nw:050-ml:14-0.trace,?u1(p),1.83,2
f:08-nw:010-ml:14-0.trace,"?b1(F(q),?b2(p,q))",1.85,6
f:07-nw:050-ml:10-0.trace,?u1(p),1.23,2
f:06-nw:050-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",6.41,10
f:09-nw:010-ml:14-0.trace,"G(->(q,?1))",0.68,4
f:04-nw:050-ml:10-0.trace,?u1(?1),2.35,2
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?1))",85.91,4
f:08-nw:025-ml:14-0.trace,"->(?1,?b1(p,q))",7.18,5
f:09-nw:200-ml:10-0.trace,"G(->(q,?1))",63.49,4
f:08-nw:200-ml:10-0.trace,"?b1(F(q),?b2(p,q))",27.66,6
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?1))",10.56,4
f:08-nw:200-ml:14-0.trace,"->(?1,?b1(p,q))",133.64,5
f:04-nw:025-ml:14-0.trace,?u1(?1),1.38,2
f:01-nw:025-ml:06-0.trace,?u1(!(?1)),0.67,3
f:08-nw:050-ml:10-0.trace,"->(?1,?b1(p,q))",10.92,5
f:02-nw:010-ml:06-0.trace,"->(?1,?b1(!(p),q))",1.01,6
f:07-nw:010-ml:14-0.trace,?u1(?1),0.5,2
f:05-nw:400-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",91.03,7
f:02-nw:400-ml:14-0.trace,"->(?1,U(!(p),q))",323.72,6
f:02-nw:025-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",1.97,7
f:05-nw:010-ml:14-0.trace,"|(?1,F(&(p,F(q))))",2.31,7
f:07-nw:025-ml:14-0.trace,?u1(p),0.97,2
f:07-nw:400-ml:06-0.trace,G(?1),43.94,2
f:04-nw:010-ml:14-0.trace,?u1(p),0.41,2
f:06-nw:025-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",4.39,10
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",41.91,13
f:01-nw:010-ml:06-0.trace,?u1(!(p)),0.25,3
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",65.07,6
f:03-nw:025-ml:06-0.trace,"G(->(q,?1))",5.02,4
f:05-nw:025-ml:10-0.trace,"|(?1,F(&(p,F(q))))",4.14,7
f:07-nw:010-ml:10-0.trace,?u1(p),0.33,2
f:08-nw:050-ml:14-0.trace,"?b1(F(q),?b2(p,q))",10,6
f:01-nw:400-ml:10-0.trace,G(!(?1)),69.18,3
f:09-nw:050-ml:14-0.trace,"G(->(q,?1))",7.41,4
f:04-nw:025-ml:10-0.trace,?u1(p),0.7,2
f:06-nw:010-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",0.94,10
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?1))",336.61,4
f:04-nw:010-ml:10-0.trace,?u1(?1),0.36,2
f:07-nw:025-ml:10-0.trace,?u1(?1),0.94,2
f:08-nw:100-ml:14-0.trace,"->(?1,?b1(p,q))",45.75,5
f:09-nw:100-ml:10-0.trace,"G(->(q,?1))",20.66,4
f:08-nw:100-ml:10-0.trace,"?b1(F(q),?b2(p,q))",13.67,6
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?1))",29.18,4
f:03-nw:400-ml:06-0.trace,"G(->(q,?1))",121.91,4
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",4.05,6
f:01-nw:010-ml:14-0.trace,G(!(?1)),0.29,3
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",2.6,13
f:06-nw:400-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",396.42,10
f:04-nw:010-ml:06-0.trace,F(?1),0.13,2
f:07-nw:025-ml:06-0.trace,G(?1),0.32,2
f:07-nw:400-ml:14-0.trace,?u1(p),14.03,2
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1,9
f:02-nw:400-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",25.95,7
f:02-nw:025-ml:14-0.trace,"->(?1,U(!(p),q))",6.1,6
f:05-nw:025-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",1.76,7
f:01-nw:400-ml:06-0.trace,?u1(!(?1)),46.21,3
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?1))",2.23,4
f:04-nw:400-ml:14-0.trace,?u1(?1),125.49,2
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",0.73,7
f:07-nw:400-ml:10-0.trace,?u1(?1),71.25,2
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?1))",10.45,4
f:04-nw:400-ml:10-0.trace,?u1(p),10.61,2
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?u1(p)))",2.64,5
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",1.22,6
f:01-nw:025-ml:10-0.trace,G(!(?1)),0.6,3
f:02-nw:010-ml:10-0.trace,"->(?1,U(!(p),q))",1.42,6
f:08-nw:050-ml:06-0.trace,"->(?1,U(p,q))",4.35,5
