File,Sketch,Time-tree_suf_bmc,Size-tree_suf_bmc
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",16.38,6
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",14.62,9
f:05-nw:025-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",6.40,9
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",0.83,9
f:06-nw:010-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",0.88,10
f:04-nw:100-ml:14-0.trace,F(?1),6.44,2
f:09-nw:200-ml:06-0.trace,"G(->(q,?1))",17.01,4
f:05-nw:400-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",372.02,9
f:04-nw:010-ml:14-0.trace,?u1(p),0.42,2
f:04-nw:400-ml:06-0.trace,?u1(p),16.90,2
f:08-nw:200-ml:14-0.trace,"->(?1,U(p,q))",109.28,5
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",24.20,13
f:07-nw:400-ml:10-0.trace,G(?1),38.73,2
f:05-nw:100-ml:06-0.trace,"|(?1,F(&(p,F(q))))",7.66,7
f:07-nw:025-ml:10-0.trace,G(?1),0.32,2
f:07-nw:050-ml:10-0.trace,G(?1),0.76,2
f:04-nw:050-ml:06-0.trace,?u1(p),0.58,2
f:04-nw:025-ml:06-0.trace,?u1(p),0.31,2
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",109.12,7
f:08-nw:010-ml:06-0.trace,"->(?1,U(p,q))",0.62,5
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?u1(p)))",31.76,5
f:07-nw:200-ml:10-0.trace,G(?1),9.20,2
f:08-nw:400-ml:14-0.trace,"->(?1,U(p,q))",300.05,5
f:02-nw:050-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",13.10,7
f:02-nw:025-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",5.82,7
f:04-nw:200-ml:06-0.trace,?u1(p),4.61,2
f:01-nw:010-ml:10-0.trace,G(!(?1)),0.16,3
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.56,7
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",287.77,7
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",12.80,5
f:08-nw:025-ml:14-0.trace,"->(?1,U(p,q))",5.37,5
f:03-nw:100-ml:14-0.trace,"G(->(q,?1))",64.33,4
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",1.50,6
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",6.12,6
f:01-nw:100-ml:10-0.trace,?u1(!(p)),4.02,3
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",2.64,4
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",52.25,6
f:09-nw:025-ml:06-0.trace,"G(->(q,?1))",1.28,4
f:09-nw:010-ml:14-0.trace,"G(->(q,?1))",0.66,4
f:05-nw:200-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",114.69,9
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",2.49,6
f:09-nw:400-ml:06-0.trace,"G(->(q,?1))",56.19,4
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.19,6
f:08-nw:100-ml:06-0.trace,"?b1(F(q),?b2(p,q))",6.22,6
f:01-nw:400-ml:14-0.trace,G(!(?1)),97.11,3
f:01-nw:010-ml:06-0.trace,G(!(?1)),0.10,3
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",1.38,7
f:07-nw:200-ml:06-0.trace,G(?1),3.95,2
f:01-nw:025-ml:14-0.trace,G(!(?1)),0.69,3
f:01-nw:050-ml:14-0.trace,G(!(?1)),1.88,3
f:04-nw:200-ml:10-0.trace,?u1(p),12.22,2
f:08-nw:010-ml:10-0.trace,"->(?1,U(p,q))",1.27,5
f:09-nw:400-ml:10-0.trace,"G(->(q,?1))",170.88,4
f:03-nw:050-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",6.49,6
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",2.93,6
f:08-nw:100-ml:10-0.trace,"?b1(F(q),?b2(p,q))",17.72,6
f:06-nw:200-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",104.52,10
f:02-nw:100-ml:10-0.trace,"->(?1,U(!(p),q))",17.51,6
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",172.92,6
f:09-nw:050-ml:10-0.trace,"G(->(q,?1))",3.39,4
f:09-nw:025-ml:10-0.trace,"G(->(q,?1))",1.23,4
f:01-nw:100-ml:06-0.trace,?u1(!(p)),1.56,3
f:06-nw:400-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",359.66,10
f:09-nw:200-ml:10-0.trace,"G(->(q,?1))",48.58,4
f:07-nw:100-ml:14-0.trace,?u1(p),7.97,2
f:05-nw:010-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1.45,9
f:06-nw:010-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",0.56,10
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",50.18,6
f:06-nw:025-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",4.34,10
f:06-nw:050-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",10.55,10
f:01-nw:200-ml:14-0.trace,G(!(?1)),24.76,3
f:07-nw:025-ml:06-0.trace,G(?1),0.16,2
f:07-nw:050-ml:06-0.trace,G(?1),0.38,2
f:04-nw:050-ml:10-0.trace,?u1(p),1.37,2
f:04-nw:025-ml:10-0.trace,?u1(p),0.66,2
f:06-nw:100-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",10.89,13
f:04-nw:400-ml:10-0.trace,?u1(p),45.46,2
f:05-nw:100-ml:10-0.trace,"|(?1,F(&(p,F(q))))",17.81,7
f:07-nw:400-ml:06-0.trace,G(?1),14.72,2
f:07-nw:010-ml:14-0.trace,G(?1),0.21,2
f:01-nw:400-ml:14-0.trace,?u1(!(p)),98.89,3
f:02-nw:010-ml:10-0.trace,"->(?1,U(!(p),q))",1.22,6
f:01-nw:010-ml:06-0.trace,?u1(!(p)),0.17,3
f:04-nw:200-ml:10-0.trace,F(?1),10.86,2
f:07-nw:200-ml:06-0.trace,?u1(p),4.68,2
f:01-nw:025-ml:14-0.trace,?u1(!(p)),1.23,3
f:01-nw:050-ml:14-0.trace,?u1(!(p)),2.79,3
f:08-nw:010-ml:10-0.trace,"?b1(F(q),?b2(p,q))",1.32,6
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",18.11,5
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",130.59,13
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?u1(p)))",173.51,5
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",16.04,4
f:03-nw:025-ml:10-0.trace,"G(->(q,?1))",7.71,4
f:03-nw:400-ml:10-0.trace,"G(->(q,?1))",227.29,4
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?u1(p)))",6.16,5
f:09-nw:025-ml:10-0.trace,"?u1(->(q,?u1(p)))",2.70,5
f:01-nw:100-ml:06-0.trace,G(!(?1)),1.17,3
f:02-nw:100-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",18.75,7
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",48.31,5
f:07-nw:100-ml:14-0.trace,G(?1),6.33,2
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",398.53,13
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.07,13
f:05-nw:010-ml:10-0.trace,"|(?1,F(&(p,F(q))))",1.38,7
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",7.81,13
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",17.83,13
f:03-nw:200-ml:10-0.trace,"G(->(q,?1))",84.15,4
f:04-nw:050-ml:10-0.trace,F(?1),0.90,2
f:04-nw:025-ml:10-0.trace,F(?1),0.35,2
f:01-nw:200-ml:14-0.trace,?u1(!(p)),27.23,3
f:07-nw:025-ml:06-0.trace,?u1(p),0.27,2
f:07-nw:050-ml:06-0.trace,?u1(p),0.59,2
f:05-nw:100-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",19.56,9
f:07-nw:400-ml:06-0.trace,?u1(p),16.24,2
f:06-nw:100-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",6.71,10
f:04-nw:400-ml:10-0.trace,F(?1),43.35,2
f:07-nw:010-ml:14-0.trace,?u1(p),0.41,2
f:03-nw:200-ml:06-0.trace,"G(->(q,?1))",28.96,4
f:05-nw:050-ml:14-0.trace,"|(?1,F(&(p,F(q))))",13.50,7
f:05-nw:025-ml:14-0.trace,"|(?1,F(&(p,F(q))))",6.41,7
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.84,13
f:05-nw:010-ml:06-0.trace,"|(?1,F(&(p,F(q))))",0.77,7
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?u1(p)))",15.76,5
f:05-nw:400-ml:14-0.trace,"|(?1,F(&(p,F(q))))",456.51,7
f:04-nw:100-ml:14-0.trace,?u1(p),7.90,2
f:04-nw:010-ml:14-0.trace,F(?1),0.21,2
f:07-nw:400-ml:10-0.trace,?u1(p),44.41,2
f:05-nw:100-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",8.26,9
f:04-nw:400-ml:06-0.trace,F(?1),15.60,2
f:08-nw:200-ml:14-0.trace,"?b1(F(q),?b2(p,q))",111.67,6
f:06-nw:100-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",16.06,10
f:04-nw:050-ml:06-0.trace,F(?1),0.39,2
f:04-nw:025-ml:06-0.trace,F(?1),0.17,2
f:02-nw:200-ml:14-0.trace,"->(?1,U(!(p),q))",107.59,6
f:07-nw:025-ml:10-0.trace,?u1(p),0.62,2
f:07-nw:050-ml:10-0.trace,?u1(p),1.23,2
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",0.66,6
f:08-nw:400-ml:14-0.trace,"?b1(F(q),?b2(p,q))",291.93,6
f:02-nw:050-ml:14-0.trace,"->(?1,U(!(p),q))",12.65,6
f:02-nw:025-ml:14-0.trace,"->(?1,U(!(p),q))",5.76,6
f:04-nw:200-ml:06-0.trace,F(?1),4.05,2
f:09-nw:100-ml:14-0.trace,"G(->(q,?1))",34.26,4
f:07-nw:200-ml:10-0.trace,?u1(p),10.86,2
f:02-nw:010-ml:06-0.trace,"->(?1,U(!(p),q))",0.58,6
f:01-nw:010-ml:10-0.trace,?u1(!(p)),0.29,3
f:03-nw:100-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",32.23,6
f:02-nw:400-ml:14-0.trace,"->(?1,U(!(p),q))",290.47,6
f:08-nw:050-ml:14-0.trace,"?b1(F(q),?b2(p,q))",12.81,6
f:08-nw:025-ml:14-0.trace,"?b1(F(q),?b2(p,q))",5.41,6
f:03-nw:010-ml:14-0.trace,"G(->(q,?1))",1.64,4
f:01-nw:100-ml:10-0.trace,G(!(?1)),3.25,3
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?u1(p)))",2.25,5
f:03-nw:400-ml:06-0.trace,"G(->(q,?1))",77.67,4
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.23,5
f:02-nw:100-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",6.80,7
f:09-nw:010-ml:14-0.trace,"?u1(->(q,?u1(p)))",1.73,5
f:08-nw:100-ml:06-0.trace,"->(?1,U(p,q))",6.35,5
f:05-nw:200-ml:14-0.trace,"|(?1,F(&(p,F(q))))",108.16,7
f:03-nw:050-ml:06-0.trace,"G(->(q,?1))",6.31,4
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?u1(p)))",52.77,5
f:03-nw:025-ml:06-0.trace,"G(->(q,?1))",3.21,4
f:07-nw:100-ml:06-0.trace,?u1(p),1.59,2
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",172.19,9
f:04-nw:100-ml:10-0.trace,F(?1),2.84,2
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",59.00,10
f:06-nw:010-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.40,10
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.22,10
f:06-nw:050-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",2.79,10
f:05-nw:050-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",7.94,9
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.83,9
f:02-nw:200-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",56.52,7
f:07-nw:025-ml:14-0.trace,G(?1),0.60,2
f:07-nw:050-ml:14-0.trace,G(?1),1.73,2
f:01-nw:200-ml:06-0.trace,G(!(?1)),4.00,3
f:07-nw:400-ml:14-0.trace,G(?1),93.47,2
f:08-nw:200-ml:10-0.trace,"->(?1,U(p,q))",54.10,5
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",44.65,13
f:04-nw:010-ml:10-0.trace,?u1(p),0.26,2
f:07-nw:010-ml:06-0.trace,G(?1),0.09,2
f:01-nw:400-ml:06-0.trace,G(!(?1)),14.43,3
f:03-nw:100-ml:10-0.trace,"G(->(q,?1))",34.18,4
f:08-nw:050-ml:10-0.trace,"->(?1,U(p,q))",7.43,5
f:02-nw:400-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",135.59,7
f:08-nw:025-ml:10-0.trace,"->(?1,U(p,q))",3.30,5
f:01-nw:010-ml:14-0.trace,G(!(?1)),0.26,3
f:02-nw:050-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",7.56,7
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",136.47,5
f:02-nw:025-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",3.54,7
f:01-nw:025-ml:06-0.trace,G(!(?1)),0.19,3
f:01-nw:050-ml:06-0.trace,G(!(?1)),0.40,3
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",16.57,5
f:07-nw:200-ml:14-0.trace,G(?1),23.03,2
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",19.12,10
f:05-nw:200-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",56.45,9
f:09-nw:010-ml:10-0.trace,"G(->(q,?1))",0.43,4
f:01-nw:100-ml:14-0.trace,?u1(!(p)),8.39,3
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",1.35,6
f:08-nw:010-ml:14-0.trace,"->(?1,U(p,q))",1.82,5
f:04-nw:200-ml:14-0.trace,?u1(p),26.89,2
f:08-nw:400-ml:06-0.trace,"->(?1,U(p,q))",45.49,5
f:02-nw:050-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",2.93,7
f:02-nw:025-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",1.53,7
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?u1(p)))",5.22,5
f:01-nw:025-ml:10-0.trace,G(!(?1)),0.38,3
f:01-nw:050-ml:10-0.trace,G(!(?1)),1.01,3
f:02-nw:010-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",2.15,7
f:03-nw:100-ml:06-0.trace,"G(->(q,?1))",13.05,4
f:01-nw:400-ml:10-0.trace,G(!(?1)),44.88,3
f:02-nw:400-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",47.02,7
f:08-nw:050-ml:06-0.trace,"->(?1,U(p,q))",2.59,5
f:08-nw:025-ml:06-0.trace,"->(?1,U(p,q))",1.27,5
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",0.67,6
f:09-nw:050-ml:14-0.trace,"G(->(q,?1))",7.04,4
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",375.53,6
f:09-nw:025-ml:14-0.trace,"G(->(q,?1))",2.14,4
f:02-nw:100-ml:14-0.trace,"->(?1,U(!(p),q))",35.85,6
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",0.20,4
f:08-nw:100-ml:14-0.trace,"?b1(F(q),?b2(p,q))",34.71,6
f:06-nw:200-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",52.21,10
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",12.10,6
f:09-nw:400-ml:14-0.trace,"G(->(q,?1))",357.59,4
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",4.88,6
f:05-nw:200-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",18.89,9
f:06-nw:025-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",2.47,10
f:06-nw:050-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",6.17,10
f:05-nw:050-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.61,9
f:05-nw:025-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1.83,9
f:03-nw:200-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",102.98,6
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.39,9
f:05-nw:400-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",57.29,9
f:09-nw:200-ml:14-0.trace,"G(->(q,?1))",99.17,4
f:07-nw:100-ml:10-0.trace,?u1(p),3.61,2
f:06-nw:400-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",171.39,10
f:04-nw:100-ml:06-0.trace,F(?1),1.05,2
f:04-nw:010-ml:06-0.trace,?u1(p),0.16,2
f:07-nw:010-ml:10-0.trace,G(?1),0.14,2
f:05-nw:100-ml:14-0.trace,"|(?1,F(&(p,F(q))))",35.76,7
f:08-nw:200-ml:06-0.trace,"->(?1,U(p,q))",18.42,5
f:04-nw:400-ml:14-0.trace,?u1(p),97.93,2
f:02-nw:200-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",19.36,7
f:04-nw:050-ml:14-0.trace,?u1(p),2.80,2
f:04-nw:025-ml:14-0.trace,?u1(p),1.08,2
f:01-nw:200-ml:10-0.trace,G(!(?1)),11.46,3
f:08-nw:010-ml:14-0.trace,"?b1(F(q),?b2(p,q))",1.91,6
f:09-nw:100-ml:06-0.trace,"G(->(q,?1))",5.53,4
f:01-nw:025-ml:10-0.trace,?u1(!(p)),0.69,3
f:01-nw:050-ml:10-0.trace,?u1(!(p)),1.54,3
f:04-nw:200-ml:14-0.trace,F(?1),24.21,2
f:08-nw:400-ml:06-0.trace,"?b1(F(q),?b2(p,q))",47.42,6
f:02-nw:050-ml:06-0.trace,"->(?1,U(!(p),q))",3.02,6
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",1.33,6
f:02-nw:010-ml:14-0.trace,"->(?1,U(!(p),q))",2.04,6
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",45.84,6
f:08-nw:050-ml:06-0.trace,"?b1(F(q),?b2(p,q))",2.83,6
f:08-nw:025-ml:06-0.trace,"?b1(F(q),?b2(p,q))",1.24,6
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",5.78,6
f:01-nw:400-ml:10-0.trace,?u1(!(p)),47.17,3
f:03-nw:010-ml:06-0.trace,"G(->(q,?1))",0.68,4
f:02-nw:100-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",35.01,7
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",11.30,5
f:03-nw:400-ml:14-0.trace,"G(->(q,?1))",482.02,4
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?u1(p)))",4.60,5
f:09-nw:010-ml:06-0.trace,"?u1(->(q,?u1(p)))",0.49,5
f:03-nw:050-ml:14-0.trace,"G(->(q,?1))",28.91,4
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?u1(p)))",364.99,5
f:03-nw:025-ml:14-0.trace,"G(->(q,?1))",13.30,4
f:05-nw:200-ml:06-0.trace,"|(?1,F(&(p,F(q))))",18.60,7
f:08-nw:100-ml:14-0.trace,"->(?1,U(p,q))",34.67,5
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",69.10,13
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",3.21,7
f:05-nw:025-ml:06-0.trace,"|(?1,F(&(p,F(q))))",1.71,7
f:03-nw:200-ml:14-0.trace,"G(->(q,?1))",153.27,4
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",4.65,13
f:06-nw:050-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",10.45,13
f:05-nw:010-ml:14-0.trace,"|(?1,F(&(p,F(q))))",2.06,7
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",190.50,13
f:04-nw:100-ml:06-0.trace,?u1(p),1.35,2
f:05-nw:400-ml:06-0.trace,"|(?1,F(&(p,F(q))))",81.08,7
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?u1(p)))",96.12,5
f:07-nw:100-ml:10-0.trace,G(?1),2.63,2
f:07-nw:010-ml:10-0.trace,?u1(p),0.28,2
f:04-nw:010-ml:06-0.trace,F(?1),0.10,2
f:08-nw:200-ml:06-0.trace,"?b1(F(q),?b2(p,q))",18.29,6
f:04-nw:400-ml:14-0.trace,F(?1),95.30,2
f:05-nw:100-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",38.13,9
f:01-nw:200-ml:10-0.trace,?u1(!(p)),12.73,3
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",17.96,6
f:04-nw:050-ml:14-0.trace,F(?1),1.88,2
f:04-nw:025-ml:14-0.trace,F(?1),0.60,2
f:04-nw:100-ml:10-0.trace,?u1(p),3.60,2
f:06-nw:400-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",71.49,13
f:07-nw:100-ml:06-0.trace,G(?1),1.21,2
f:05-nw:400-ml:10-0.trace,"|(?1,F(&(p,F(q))))",215.95,7
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",2.74,13
f:05-nw:050-ml:10-0.trace,"|(?1,F(&(p,F(q))))",7.56,7
f:05-nw:025-ml:10-0.trace,"|(?1,F(&(p,F(q))))",3.45,7
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",2.68,13
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",4.92,13
f:07-nw:025-ml:14-0.trace,?u1(p),1.10,2
f:07-nw:050-ml:14-0.trace,?u1(p),2.59,2
f:01-nw:200-ml:06-0.trace,?u1(!(p)),4.63,3
f:02-nw:200-ml:10-0.trace,"->(?1,U(!(p),q))",52.56,6
f:08-nw:200-ml:10-0.trace,"?b1(F(q),?b2(p,q))",57.30,6
f:06-nw:100-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",32.46,10
f:07-nw:400-ml:14-0.trace,?u1(p),96.60,2
f:07-nw:010-ml:06-0.trace,?u1(p),0.15,2
f:04-nw:010-ml:10-0.trace,F(?1),0.14,2
f:08-nw:050-ml:10-0.trace,"?b1(F(q),?b2(p,q))",7.75,6
f:02-nw:400-ml:10-0.trace,"->(?1,U(!(p),q))",136.80,6
f:08-nw:025-ml:10-0.trace,"?b1(F(q),?b2(p,q))",3.33,6
f:01-nw:400-ml:06-0.trace,?u1(!(p)),15.04,3
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",16.90,6
f:01-nw:010-ml:14-0.trace,?u1(!(p)),0.48,3
f:01-nw:025-ml:06-0.trace,?u1(!(p)),0.35,3
f:01-nw:050-ml:06-0.trace,?u1(!(p)),0.59,3
f:09-nw:100-ml:10-0.trace,"G(->(q,?1))",16.43,4
f:07-nw:200-ml:14-0.trace,?u1(p),27.05,2
f:02-nw:050-ml:10-0.trace,"->(?1,U(!(p),q))",7.03,6
f:08-nw:400-ml:10-0.trace,"?b1(F(q),?b2(p,q))",145.44,6
f:02-nw:025-ml:10-0.trace,"->(?1,U(!(p),q))",3.36,6
f:05-nw:200-ml:10-0.trace,"|(?1,F(&(p,F(q))))",52.16,7
f:06-nw:200-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",27.15,13
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?u1(p)))",1.12,5
f:01-nw:100-ml:14-0.trace,G(!(?1)),6.71,3
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",1.39,4
